Category,Artist,Song,AlbumArtURL
Pop / R&B,Coldplay,Speed of Sound,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/0c/82/48/0c8248a8-4a5b-d30d-8056-f32d650d2fc9/190295978068.jpg/600x600bb.jpg
Pop / R&B,Coldplay,The Scientist,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/b9/b4/2a/b9b42ad1-1e25-5096-da43-497a247e69a3/190295978051.jpg/600x600bb.jpg
Pop / R&B,Coldplay,Trouble,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/f5/93/8c/f5938c49-964c-31d1-4b33-78b634f71fb7/190295978075.jpg/600x600bb.jpg
Pop / R&B,Coldplay,Viva la Vida,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/52/aa/85/52aa851f-15b7-6322-f91f-df84b15b7b19/190295978044.jpg/600x600bb.jpg
Pop / R&B,Coldplay,Yellow,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/f5/93/8c/f5938c49-964c-31d1-4b33-78b634f71fb7/190295978075.jpg/600x600bb.jpg
Pop / R&B,Cole Porter,Anything Goes,https://is1-ssl.mzstatic.com/image/thumb/Music/cf/e7/da/mzi.egjkgprw.jpg/600x600bb.jpg
Pop / R&B,Cole Porter,Begin the Beguine,https://is1-ssl.mzstatic.com/image/thumb/Music/1d/73/be/mzi.lmaspuel.jpg/600x600bb.jpg
Pop / R&B,Cole Porter,I Get a Kick Out of You,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/29/3c/47/293c4798-f7b7-ae84-c7a1-80bb8ce513e5/886446144573.jpg/600x600bb.jpg
Pop / R&B,Cole Porter,I Love Paris,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/af/28/7d/af287ddc-6e8d-d5ae-6fc2-a1a4ee0e9ed9/17UMGIM00693.rgb.jpg/600x600bb.jpg
Pop / R&B,Cole Porter,Just One of Those Things,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/04/88/6f/04886f5f-af7f-3a0b-9b74-71dd757159ce/19UMGIM54365.rgb.jpg/600x600bb.jpg
Pop / R&B,Cole Porter,Night and Day,https://is1-ssl.mzstatic.com/image/thumb/Music/cf/e7/da/mzi.egjkgprw.jpg/600x600bb.jpg
Pop / R&B,Cole Porter,What is this Thing Called Love,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/af/28/7d/af287ddc-6e8d-d5ae-6fc2-a1a4ee0e9ed9/17UMGIM00693.rgb.jpg/600x600bb.jpg
Pop / R&B,Cole Porter,You’re the Top,https://is1-ssl.mzstatic.com/image/thumb/Music/cf/e7/da/mzi.egjkgprw.jpg/600x600bb.jpg
Pop / R&B,Cream,Sunshine of Your Love,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/9f/3f/da/9f3fdaab-98af-bec1-633c-212a2705ccf3/00602537802913.rgb.jpg/600x600bb.jpg
Pop / R&B,D’Angelo,Untitled (How Does It Feel),https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/fd/be/cd/fdbecdf2-5bf5-09fc-8fab-6e93250ebda4/13ULAIM54464.rgb.jpg/600x600bb.jpg
Pop / R&B,Daniel Caesar feat. H.E.R,Best Part,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b6/cd/1a/b6cd1a5b-83af-a1e2-0ad7-ea530fcf2522/859722261219.jpg/600x600bb.jpg
Pop / R&B,David Bowie,Heroes,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/e2/65/b2/e265b2ae-48d5-9dd8-0251-6cd6c6c4eb53/190295842826.jpg/600x600bb.jpg
Pop / R&B,David Bowie,Life on Mars,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/f0/b9/68/f0b9680e-b028-b3d6-f793-7c268256499a/825646286034.jpg/600x600bb.jpg
